ID,Date,Symbol,Strategy,Entry Price,Exit Price,DTE,P&L £,P&L %,BP Used %,Win/Loss,Notes
TRADE_132,2025-03-06,ES,LT112,520.45,724.8,71,2897,39.26,2,WIN,"Successful trade"
TRADE_133,2025-03-15,ES,IPMCC,394.11,514.02,52,1538,30.42,11,WIN,"Successful trade"
TRADE_134,2025-03-22,TLT,LT112,258.36,-39.1,74,-4266,-115.13,2,LOSS,"Stopped out"
TRADE_135,2025-03-19,MCL,BUTTERFLY,262.97,313.56,81,523,19.24,2,WIN,"Successful trade"
TRADE_136,2025-08-24,ES,STRANGLE,562.22,671.03,74,1530,19.35,9,WIN,"Successful trade"
TRADE_137,2025-05-05,ES,IPMCC,294.69,345.21,87,559,17.14,3,WIN,"Successful trade"
TRADE_138,2025-03-21,ES,IPMCC,489.74,729.59,75,2642,48.97,2,WIN,"Successful trade"
TRADE_139,2025-05-31,GLD,STRANGLE,475.91,548.06,82,808,15.16,3,WIN,"Successful trade"
TRADE_140,2025-04-05,MCL,STRANGLE,583.68,812.37,59,2608,39.18,10,WIN,"Successful trade"
TRADE_141,2025-03-08,MGC,BUTTERFLY,435.44,537.16,88,1105,23.36,8,WIN,"Successful trade"
TRADE_142,2025-04-12,GLD,IPMCC,498.03,510.99,56,165,2.6,8,WIN,"Successful trade"
TRADE_143,2025-08-28,TLT,LT112,528.11,569.85,19,500,7.9,8,WIN,"Successful trade"
TRADE_144,2025-06-10,GLD,IPMCC,180.57,209.73,85,320,16.15,9,WIN,"Successful trade"
TRADE_145,2025-06-03,MCL,0DTE,184.95,272.53,0,1100,47.36,7,WIN,"Successful trade"
TRADE_146,2025-04-16,GLD,STRANGLE,198.92,275.14,52,916,38.31,9,WIN,"Successful trade"
TRADE_147,2025-08-25,ES,LT112,527.52,720.67,87,2363,36.61,6,WIN,"Successful trade"
TRADE_148,2025-04-07,MCL,LT112,432.46,543.46,11,1248,25.67,2,WIN,"Successful trade"
TRADE_149,2025-07-09,ES,STRANGLE,523,553.86,26,324,5.9,10,WIN,"Successful trade"
TRADE_150,2025-04-26,MCL,LT112,139.03,161.32,14,290,16.04,6,WIN,"Successful trade"
